date,solve_date,day,elapsed_seconds,solved,checked,revealed,streak_eligible
2020-03-15,2021-03-04 19:10:37,Sun,4665,1,1,0,0
2020-03-16,2020-03-20 12:32:17,Mon,784,1,0,0,0
2020-03-17,2020-03-20 22:55:29,Tue,1313,1,0,0,0
2020-03-18,2020-05-03 11:36:33,Wed,812,1,0,0,0
2020-03-19,2021-03-04 21:00:42,Thu,1527,1,0,0,0
2020-03-20,2020-06-05 23:41:58,Fri,3861,1,0,0,0
2020-03-21,2021-03-07 12:18:03,Sat,1438,1,0,0,0
2020-03-22,2021-03-08 23:26:30,Sun,4629,1,0,0,0
2020-03-23,2020-03-23 13:22:55,Mon,466,1,0,0,1
2020-03-24,2020-03-25 12:46:42,Tue,1058,1,0,0,0
2020-03-25,2020-03-25 13:08:36,Wed,1050,1,0,0,1
2020-03-26,2020-03-30 21:59:57,Thu,2478,1,0,0,0
2020-03-27,2020-05-14 10:03:27,Fri,2063,1,0,0,0
2020-03-28,2021-04-16 19:21:31,Sat,2660,1,0,0,0
2020-03-29,2021-05-03 15:21:55,Sun,1981,1,0,0,0
2020-03-30,2020-03-30 21:42:07,Mon,895,1,0,0,1
2020-03-31,2020-03-31 20:26:51,Tue,812,1,0,0,1
2020-04-01,2021-05-07 19:37:56,Wed,982,1,0,0,0
2020-04-02,2021-05-09 22:27:21,Thu,2266,1,0,0,0
2020-04-03,2020-05-15 13:40:07,Fri,1876,1,0,0,0
2020-04-04,1969-12-31 19:00:00,Sat,0,0,0,0,0
2020-04-05,1969-12-31 19:00:00,Sun,0,0,0,0,0
2020-04-06,2020-05-15 18:46:00,Mon,445,1,0,0,0
2020-04-07,2020-06-30 07:27:22,Tue,879,1,0,0,0
2020-04-08,2021-05-10 12:13:31,Wed,955,1,0,0,0
2020-04-09,2021-05-10 14:00:58,Thu,904,1,0,0,0
2020-04-10,2021-05-12 11:52:47,Fri,1992,1,0,0,0
2020-04-11,1969-12-31 19:00:00,Sat,0,0,0,0,0
2020-04-12,1969-12-31 19:00:00,Sun,0,0,0,0,0
2020-04-13,2020-06-29 21:11:34,Mon,442,1,0,0,0
2020-04-14,2021-05-09 22:36:04,Tue,490,1,0,0,0
2020-04-15,2021-05-10 14:31:00,Wed,818,1,0,0,0
2020-04-16,2021-05-10 22:38:46,Thu,3120,1,0,0,0
2020-04-17,1969-12-31 19:00:00,Fri,257,0,0,0,0
2020-04-18,1969-12-31 19:00:00,Sat,0,0,0,0,0
2020-04-19,1969-12-31 19:00:00,Sun,0,0,0,0,0
2020-04-20,2020-04-21 15:43:30,Mon,670,1,0,0,0
2020-04-21,2020-04-21 16:04:27,Tue,1184,1,0,0,1
2020-04-22,2020-04-25 12:42:01,Wed,2848,1,0,0,0
2020-04-23,2020-04-25 23:56:17,Thu,1437,1,0,0,0
2020-04-24,2020-05-14 19:09:05,Fri,3343,1,0,0,0
2020-04-25,1969-12-31 19:00:00,Sat,0,0,0,0,0
2020-04-26,1969-12-31 19:00:00,Sun,0,0,0,0,0
2020-04-27,2020-04-27 23:13:57,Mon,495,1,0,0,1
2020-04-28,2020-04-29 22:17:04,Tue,1644,1,0,0,0
2020-04-29,2020-05-01 23:28:20,Wed,3115,1,0,0,0
2020-04-30,2021-05-11 22:54:02,Thu,1889,1,0,0,0
2020-05-01,2020-05-02 18:34:35,Fri,1924,1,0,0,0
2020-05-02,2021-02-03 23:03:06,Sat,1598,1,0,0,0
2020-05-03,2021-02-04 23:17:47,Sun,2602,1,0,0,0
2020-05-04,2020-05-04 12:22:23,Mon,556,1,0,0,1
2020-05-05,2020-05-11 16:07:27,Tue,696,1,0,0,0
2020-05-06,2020-05-12 10:11:37,Wed,3342,1,0,0,0
2020-05-07,2020-05-13 23:18:42,Thu,1416,1,0,0,0
2020-05-08,2021-02-02 23:21:45,Fri,2790,1,0,0,0
2020-05-09,2021-02-01 23:25:39,Sat,2260,1,0,0,0
2020-05-10,2021-02-01 19:39:06,Sun,2631,1,1,0,0
2020-05-11,2020-05-11 13:46:23,Mon,540,1,0,0,1
2020-05-12,2020-05-12 10:19:46,Tue,477,1,0,0,1
2020-05-13,2020-05-12 23:16:17,Wed,1025,1,0,0,1
2020-05-14,2021-01-17 00:28:58,Thu,1661,1,0,0,0
2020-05-15,2020-06-20 20:39:37,Fri,1724,1,0,0,0
2020-05-16,2020-05-28 19:02:57,Sat,3213,1,0,0,0
2020-05-17,2020-05-17 14:24:17,Sun,3409,1,0,0,1
2020-05-18,2020-05-18 11:49:24,Mon,511,1,0,0,1
2020-05-19,2020-05-19 10:14:59,Tue,961,1,0,0,1
2020-05-20,2020-05-20 09:24:05,Wed,1037,1,0,0,1
